Russian Federation, Cohort fertility tables, birth orders 1 to 5+
Last modified: 02/10/2020
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1955    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    15     7   10000   0.00066   0.00066      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    16    36    9993   0.00365   0.00365      7     0      7   0.00354   0.01326      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    17   146    9957   0.01477   0.01466     43     0     43   0.00275   0.00742      0      0      0   0.00542   0.01522      0      0      0         .         .      0      0      0         .         .       0        .
1955    18   453    9811   0.04726   0.04617    189    10    189   0.02493   0.05418      0      0      0   0.02425   0.32626      0      0      0   0.01173   0.58912      0      0      0         .         .       0        .
1955    19   927    9358   0.10423   0.09907    642    84    631   0.07987   0.13319     11      3     10   0.05765   0.28059      0      0      0   0.00290   0.03499      0      0      0   0.00000   0.00000       0     4.00
1955    20  1319    8431   0.16972   0.15645   1569   176   1474   0.08621   0.11962     95     10     92   0.05716   0.10905      3      0      3   0.00829   0.02168      0      0      0   0.00000   0.00000       0     4.00
1955    21  1350    7112   0.20977   0.18985   2888   293   2617   0.09320   0.11202    271     23    258   0.05848   0.08910     13      0     13   0.00922   0.01729      0      0      0   0.00170   0.00436       0     4.00
1955    22  1193    5762   0.23102   0.20710   4238   404   3674   0.09937   0.11004    564     41    528   0.05801   0.07796     36      3     36   0.04597   0.07080      0      0      0         .         .       0     4.00
1955    23   916    4569   0.22293   0.20057   5431   491   4463   0.10510   0.11011    969     61    891   0.05547   0.06885     77     10     74   0.09775   0.13163      3      2      3   0.23405   0.63921       0     4.11
1955    24   681    3652   0.20580   0.18660   6348   560   4888   0.11316   0.11457   1460     81   1321   0.05201   0.06143    139     16    126   0.10320   0.12976     13      4     13   0.17668   0.29108       2     4.17
1955    25   492    2971   0.18045   0.16552   7029   599   5009   0.12080   0.11951   2020     99   1800   0.04812   0.05480    220     23    191   0.09918   0.11892     29      7     29   0.16833   0.23425       6     4.20
1955    26   359    2479   0.15630   0.14497   7521   624   4902   0.13082   0.12729   2619    118   2300   0.04641   0.05151    318     30    267   0.09784   0.11399     52     12     52   0.17495   0.22643      13     4.24
1955    27   269    2120   0.13563   0.12702   7880   647   4638   0.14531   0.13940   3243    143   2806   0.04676   0.05095    437     37    355   0.09127   0.10487     82     18     82   0.17591   0.21579      24     4.30
1955    28   208    1850   0.11927   0.11256   8150   591   4261   0.14524   0.13871   3889    157   3309   0.04440   0.04732    580     42    461   0.08014   0.09015    119     23    119   0.16635   0.19531      42     4.35
1955    29   162    1642   0.10365   0.09854   8358   485   3878   0.13051   0.12507   4480    161   3744   0.04128   0.04306    736     45    576   0.07037   0.07749    161     29    161   0.15839   0.18036      65     4.41
1955    30   134    1480   0.09470   0.09042   8520   422   3555   0.12362   0.11861   4965    173   4067   0.04122   0.04248    898     50    692   0.06590   0.07175    205     36    205   0.15499   0.17373      94     4.46
1955    31   112    1346   0.08659   0.08300   8654   368   3267   0.11722   0.11263   5387    178   4316   0.04044   0.04132   1070     51    815   0.05841   0.06296    255     39    255   0.13957   0.15362     130     4.51
1955    32    92    1235   0.07717   0.07430   8765   288   3011   0.09876   0.09555   5755    160   4506   0.03511   0.03561   1249     47    942   0.04708   0.04992    306     41    306   0.12489   0.13448     169     4.55
1955    33    74    1143   0.06695   0.06478   8857   206   2815   0.07501   0.07325   6042    128   4633   0.02735   0.02758   1409     40   1056   0.03656   0.03807    353     40    353   0.10657   0.11262     210     4.60
