Iceland, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Total
1960     12-        0.00
1960     13         0.01
1960     14         0.14
1960     15         1.71
1960     16        13.28
1960     17        72.24
1960     18       211.19
1960     19       312.43
1960     20       269.30
1960     21       274.80
1960     22       265.52
1960     23       280.82
1960     24       292.56
1960     25       287.34
1960     26       251.06
1960     27       225.30
1960     28       226.74
1960     29       244.58
1960     30       225.69
1960     31       192.81
1960     32       174.97
1960     33       169.56
1960     34       154.96
1960     35       133.14
1960     36       126.58
1960     37       112.33
1960     38        98.77
1960     39        85.17
1960     40        68.84
1960     41        51.68
1960     42        38.91
1960     43        25.26
1960     44        14.32
1960     45         9.31
1960     46         3.72
1960     47         0.80
1960     48         0.14
1960     49         0.03
1960     50         0.00
1960     51         0.00
1960     52         0.00
1960     53         0.00
1960     54         0.00
1960     55+        0.00
1961     12-        0.00
1961     13         0.01
1961     14         0.13
1961     15         1.52
1961     16        12.89
1961     17        64.97
1961     18       210.00
1961     19       313.46
1961     20       265.54
1961     21       276.40
1961     22       256.70
1961     23       241.50
1961     24       263.85
1961     25       258.10
1961     26       229.73
1961     27       202.58
1961     28       191.55
1961     29       209.06
1961     30       216.57
1961     31       194.66
1961     32       170.33
1961     33       155.76
1961     34       149.67
1961     35       128.89
1961     36       104.09
1961     37        98.96
1961     38        86.89
1961     39        73.18
1961     40        58.37
1961     41        43.43
1961     42        31.48
1961     43        23.12
1961     44        14.60
1961     45         9.94
1961     46         4.03
1961     47         0.86
1961     48         0.14
1961     49         0.03
1961     50         0.00
1961     51         0.00
1961     52         0.00
1961     53         0.00
1961     54         0.00
1961     55+        0.00
1962     12-        0.00
1962     13         0.01
1962     14         0.15
1962     15         1.55
1962     16        12.45
1962     17        67.75
1962     18       201.75
1962     19       329.34
1962     20       285.08
1962     21       279.46
1962     22       264.58
1962     23       245.56
1962     24       247.31
1962     25       267.66
1962     26       249.80
1962     27       230.82
1962     28       211.82
1962     29       206.90
1962     30       202.70
1962     31       192.67
1962     32       172.79
1962     33       154.41
1962     34       146.43
1962     35       139.26
1962     36       116.98
1962     37        97.42
1962     38        95.07
1962     39        82.28
1962     40        66.59
1962     41        51.05
1962     42        36.64
1962     43        24.17
1962     44        15.55
1962     45        10.19
1962     46         3.83
1962     47         0.82
1962     48         0.14
1962     49         0.03
1962     50         0.00
1962     51         0.00
1962     52         0.00
1962     53         0.00
1962     54         0.00
1962     55+        0.00
1963     12-        0.00
1963     13         0.00
1963     14         0.00
1963     15         9.00
1963     16        37.00
1963     17       138.00
1963     18       210.00
1963     19       274.00
1963     20       341.00
1963     21       307.00
1963     22       327.00
1963     23       259.00
1963     24       235.00
1963     25       240.00
1963     26       262.00
1963     27       222.00
1963     28       211.00
1963     29       223.00
1963     30       181.00
1963     31       175.00
1963     32       177.00
1963     33       180.00
1963     34       149.00
1963     35       130.00
1963     36        92.00
1963     37        92.00
1963     38        71.00
1963     39        87.00
1963     40        63.00
1963     41        51.00
1963     42        36.00
1963     43        25.00
1963     44        10.00
1963     45         3.00
1963     46         3.00
1963     47         0.00
1963     48         0.00
1963     49         0.00
1963     50         0.00
1963     51         0.00
1963     52         0.00
1963     53         0.00
1963     54         0.00
1963     55+        0.00
1964     12-        0.00
1964     13         0.00
1964     14         0.00
1964     15        10.00
1964     16        38.00
1964     17       126.00
1964     18       263.00
1964     19       291.00
1964     20       317.00
1964     21       334.00
1964     22       287.00
1964     23       267.00
1964     24       268.00
1964     25       241.00
1964     26       212.00
1964     27       214.00
1964     28       202.00
1964     29       179.00
1964     30       166.00
1964     31       159.00
1964     32       191.00
1964     33       164.00
1964     34       153.00
1964     35       140.00
1964     36       107.00
1964     37       106.00
1964     38        85.00
1964     39        68.00
1964     40        58.00
1964     41        65.00
1964     42        39.00
1964     43        19.00
1964     44         8.00
1964     45         8.00
1964     46         1.00
1964     47         0.00
1964     48         1.00
1964     49         0.00
1964     50         0.00
1964     51         0.00
1964     52         0.00
1964     53         0.00
1964     54         0.00
1964     55+        0.00
1965     12-        0.00
1965     13         0.00
1965     14         0.00
1965     15        15.00
1965     16        56.00
1965     17       157.00
1965     18       240.00
1965     19       279.00
1965     20       348.00
1965     21       305.00
1965     22       302.00
1965     23       269.00
1965     24       276.00
1965     25       218.00
1965     26       202.00
1965     27       203.00
1965     28       206.00
1965     29       161.00
1965     30       181.00
1965     31       169.00
1965     32       123.00
1965     33       151.00
1965     34       149.00
1965     35       161.00
1965     36        99.00
1965     37        80.00
1965     38        99.00
1965     39        77.00
1965     40        44.00
1965     41        62.00
1965     42        37.00
1965     43        21.00
1965     44        16.00
1965     45         6.00
1965     46         4.00
1965     47         3.00
1965     48         1.00
1965     49         0.00
1965     50         0.34
1965     51         0.43
1965     52         0.17
1965     53         0.05
1965     54         0.01
1965     55+        0.00
1966     12-        0.00
1966     13         0.15
1966     14         1.85
1966     15         6.00
1966     16        46.00
1966     17       178.00
1966     18       288.00
1966     19       308.00
1966     20       336.00
1966     21       303.00
1966     22       341.00
1966     23       318.00
1966     24       234.00
1966     25       239.00
1966     26       179.00
1966     27       210.00
1966     28       158.00
1966     29       161.00
1966     30       170.00
1966     31       167.00
1966     32       145.00
1966     33       120.00
1966     34       126.00
1966     35       129.00
1966     36       103.00
1966     37       109.00
1966     38        77.00
1966     39        61.00
1966     40        57.00
1966     41        44.00
1966     42        32.00
1966     43        23.00
1966     44        12.00
1966     45         2.00
1966     46         6.00
1966     47         0.00
1966     48         1.00
1966     49         1.00
1966     50         0.00
1966     51         0.00
1966     52         0.00
1966     53         0.00
1966     54         0.00
1966     55+        0.00
1967     12-        0.00
1967     13         0.00
1967     14         0.00
1967     15         7.00
1967     16        41.00
1967     17       129.00
1967     18       261.00
1967     19       327.00
1967     20       328.00
1967     21       290.00
1967     22       307.00
1967     23       314.00
1967     24       241.00
1967     25       232.00
1967     26       180.00
1967     27       180.00
1967     28       162.00
1967     29       153.00
1967     30       141.00
1967     31       156.00
1967     32       126.00
1967     33       116.00
1967     34       116.00
1967     35       130.00
1967     36       106.00
1967     37        81.00
1967     38        65.00
1967     39        63.00
1967     40        43.00
1967     41        34.00
1967     42        34.00
1967     43        14.00
1967     44        16.00
1967     45         6.00
1967     46         2.00
1967     47         1.00
1967     48         1.00
1967     49         0.00
1967     50         0.36
1967     51         0.41
1967     52         0.16
1967     53         0.05
1967     54         0.01
1967     55+        0.00
1968     12-        0.00
1968     13         0.04
1968     14         0.95
1968     15         9.00
1968     16        54.00
1968     17       131.00
1968     18       228.00
1968     19       299.00
1968     20       316.00
1968     21       345.00
1968     22       298.00
1968     23       260.00
1968     24       274.00
1968     25       216.00
1968     26       192.00
1968     27       171.00
1968     28       148.00
1968     29       152.00
1968     30       115.00
1968     31       135.00
1968     32       126.00
1968     33       105.00
1968     34       100.00
1968     35        88.00
