Ukraine, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 13/11/2015
Year   Age    Cohort           Total
1959    12-        .            0.05
1959    13      1946            0.36
1959    13      1945            0.60
1959    14      1945            3.39
1959    14      1944            8.70
1959    15      1944           39.64
1959    15      1943           70.51
1959    16      1943          189.24
1959    16      1942          393.18
1959    17      1942         1187.09
1959    17      1941         2495.23
1959    18      1941         5888.62
1959    18      1940         9281.20
1959    19      1940        14517.83
1959    19      1939        17831.00
1959    20      1939        24168.66
1959    20      1938        31371.28
1959    21      1938        36758.72
1959    21      1937        37283.41
1959    22      1937        40364.88
1959    22      1936        36963.67
1959    23      1936        37670.92
1959    23      1935        30906.45
1959    24      1935        31337.74
1959    24      1934        25241.82
1959    25      1934        24551.78
1959    25      1933        21922.77
1959    26      1933        19875.73
1959    26      1932        23588.51
1959    27      1932        21746.12
1959    27      1931        21006.28
1959    28      1931        19952.80
1959    28      1930        26290.57
1959    29      1930        25919.44
1959    29      1929        22901.31
1959    30      1929        21484.27
1959    30      1928        25079.38
1959    31      1928        22330.18
1959    31      1927        17719.38
1959    32      1927        16528.47
1959    32      1926        17675.81
1959    33      1926        16515.51
1959    33      1925        14834.87
1959    34      1925        14155.59
1959    34      1924        13604.29
1959    35      1924        12324.58
1959    35      1923        10904.24
1959    36      1923         9778.48
1959    36      1922         8570.33
1959    37      1922         7506.58
1959    37      1921         5732.12
1959    38      1921         4959.64
1959    38      1920         4632.28
1959    39      1920         3825.64
1959    39      1919         3097.14
1959    40      1919         2778.98
1959    40      1918         3051.20
1959    41      1918         2451.63
1959    41      1917         1319.41
1959    42      1917         1049.50
1959    42      1916         1135.16
1959    43      1916          839.84
1959    43      1915          848.18
1959    44      1915          617.90
1959    44      1914          715.48
1959    45      1914          512.87
1959    45      1913          421.87
1959    46      1913          324.40
1959    46      1912          311.10
1959    47      1912          235.34
1959    47      1911          164.72
1959    48      1911          128.03
1959    48      1910          140.38
1959    49      1910          105.26
1959    49      1909           66.79
1959    50      1909           50.91
1959    50      1908           51.20
1959    51      1908           38.18
1959    51      1907           28.47
1959    52      1907           23.78
1959    52      1906           22.81
1959    53      1906           19.77
1959    53      1905           17.11
1959    54      1905           15.21
1959    54      1904           14.12
1959    55+        .           64.12
1960    12-        .            0.06
1960    13      1947            0.29
1960    13      1946            0.76
1960    14      1946            5.14
1960    14      1945            7.46
1960    15      1945           30.39
1960    15      1944           66.10
1960    16      1944          179.60
1960    16      1943          280.26
1960    17      1943          902.35
1960    17      1942         1932.56
1960    18      1942         4812.37
1960    18      1941         8921.01
1960    19      1941        14242.13
1960    19      1940        19062.02
1960    20      1940        24750.68
1960    20      1939        28152.96
1960    21      1939        32143.94
1960    21      1938        38424.64
1960    22      1938        40155.17
1960    22      1937        39370.03
1960    23      1937        39975.06
1960    23      1936        35689.82
1960    24      1936        36432.25
1960    24      1935        29808.86
1960    25      1935        29475.80
1960    25      1934        23275.04
1960    26      1934        21250.52
1960    26      1933        18685.14
1960    27      1933        17262.63
1960    27      1932        20828.47
1960    28      1932        19739.68
1960    28      1931        19310.25
1960    29      1931        19027.50
1960    29      1930        24894.15
1960    30      1930        23225.04
1960    30      1929        20329.24
1960    31      1929        18423.41
1960    31      1928        21178.79
1960    32      1928        19329.18
1960    32      1927        15693.30
1960    33      1927        14870.41
1960    33      1926        15834.82
1960    34      1926        15015.95
1960    34      1925        13414.30
1960    35      1925        12100.53
1960    35      1924        11475.50
1960    36      1924        10286.78
1960    36      1923         8991.06
1960    37      1923         7922.07
1960    37      1922         6910.99
1960    38      1922         5988.10
1960    38      1921         4563.42
1960    39      1921         3901.44
1960    39      1920         3613.46
1960    40      1920         3074.76
1960    40      1919         2496.14
1960    41      1919         2098.35
1960    41      1918         2186.84
1960    42      1918         1600.93
1960    42      1917          834.82
1960    43      1917          616.49
1960    43      1916          634.58
1960    44      1916          430.52
1960    44      1915          431.99
1960    45      1915          321.28
1960    45      1914          378.54
1960    46      1914          280.39
1960    46      1913          229.72
1960    47      1913          173.94
1960    47      1912          167.25
1960    48      1912          126.40
1960    48      1911           88.61
1960    49      1911           69.94
1960    49      1910           75.16
1960    50      1910           53.05
1960    50      1909           34.21
1960    51      1909           26.79
1960    51      1908           27.09
1960    52      1908           21.93
1960    52      1907           17.17
1960    53      1907           15.13
1960    53      1906           14.65
1960    54      1906           12.95
1960    54      1905           11.42
1960    55+        .           54.09
1961    12-        .            0.06
1961    13      1948            0.36
1961    13      1947            0.74
1961    14      1947            4.41
1961    14      1946           10.17
1961    15      1946           49.69
1961    15      1945           61.80
1961    16      1945          159.43
