Hungary, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      ASFR
1952   47     1905    0.00068
1952   47     1904    0.00067
1952   48     1904    0.00040
1952   48     1903    0.00024
1952   49     1903    0.00028
1952   49     1902    0.00015
1952   50     1902    0.00018
1952   50     1901    0.00016
1952   51     1901    0.00012
1952   51     1900    0.00009
1952   52     1900    0.00005
1952   52     1899    0.00004
1952   53     1899    0.00002
1952   53     1898    0.00001
1952   54     1898    0.00001
1952   54     1897    0.00000
1952   55+       .    0.00000
1953   12-       .    0.00000
1953   13     1940    0.00004
1953   13     1939    0.00012
1953   14     1939    0.00075
1953   14     1938    0.00141
1953   15     1938    0.00265
1953   15     1937    0.00394
1953   16     1937    0.00984
1953   16     1936    0.01596
1953   17     1936    0.03047
1953   17     1935    0.04316
1953   18     1935    0.06379
1953   18     1934    0.08196
1953   19     1934    0.11197
1953   19     1933    0.12967
1953   20     1933    0.15298
1953   20     1932    0.16547
1953   21     1932    0.17910
1953   21     1931    0.17985
1953   22     1931    0.18717
1953   22     1930    0.18680
1953   23     1930    0.19000
1953   23     1929    0.18953
1953   24     1929    0.18421
1953   24     1928    0.17886
1953   25     1928    0.17619
1953   25     1927    0.17414
1953   26     1927    0.16286
1953   26     1926    0.16589
1953   27     1926    0.15476
1953   27     1925    0.15119
1953   28     1925    0.14111
1953   28     1924    0.13559
1953   29     1924    0.13098
1953   29     1923    0.12733
1953   30     1923    0.12380
1953   30     1922    0.11492
1953   31     1922    0.10968
1953   31     1921    0.10625
1953   32     1921    0.10071
1953   32     1920    0.09314
1953   33     1920    0.08577
1953   33     1919    0.08494
1953   34     1919    0.07623
1953   34     1918    0.07843
1953   35     1918    0.06761
1953   35     1917    0.06247
1953   36     1917    0.06754
1953   36     1916    0.05844
1953   37     1916    0.05697
1953   37     1915    0.04497
1953   38     1915    0.05434
1953   38     1914    0.04381
1953   39     1914    0.03990
1953   39     1913    0.03638
1953   40     1913    0.03124
1953   40     1912    0.02963
1953   41     1912    0.02606
1953   41     1911    0.02276
1953   42     1911    0.01827
1953   42     1910    0.01594
1953   43     1910    0.01276
1953   43     1909    0.01030
1953   44     1909    0.00715
1953   44     1908    0.00634
1953   45     1908    0.00369
1953   45     1907    0.00326
1953   46     1907    0.00190
1953   46     1906    0.00108
1953   47     1906    0.00085
1953   47     1905    0.00087
1953   48     1905    0.00022
1953   48     1904    0.00031
1953   49     1904    0.00025
1953   49     1903    0.00015
1953   50     1903    0.00020
1953   50     1902    0.00019
1953   51     1902    0.00014
1953   51     1901    0.00011
1953   52     1901    0.00006
1953   52     1900    0.00005
1953   53     1900    0.00002
1953   53     1899    0.00002
1953   54     1899    0.00001
1953   54     1898    0.00000
1953   55+       .    0.00000
1954   12-       .    0.00000
1954   13     1941    0.00003
1954   13     1940    0.00009
1954   14     1940    0.00061
1954   14     1939    0.00124
1954   15     1939    0.00291
1954   15     1938    0.00487
